notes,year,year_code,state,state_code,ten-year_age_groups,ten-year_age_groups_code,sex,sex_code,deaths,population,crude_rate
,1999.0,1999.0,Colorado,8.0,65-74 years,65-74,Male,M,33.0,103695.0,31.8
,1999.0,1999.0,Colorado,8.0,75-84 years,75-84,Female,F,10.0,82732.0,
,1999.0,1999.0,Colorado,8.0,75-84 years,75-84,Male,M,27.0,56371.0,47.9
,1999.0,1999.0,Colorado,8.0,85+ years,85+,Male,M,10.0,13720.0,
,1999.0,1999.0,Connecticut,9.0,15-24 years,15-24,Male,M,27.0,203760.0,13.3
,1999.0,1999.0,Connecticut,9.0,25-34 years,25-34,Male,M,33.0,227998.0,14.5
,1999.0,1999.0,Connecticut,9.0,35-44 years,35-44,Female,F,19.0,294958.0,
,1999.0,1999.0,Connecticut,9.0,35-44 years,35-44,Male,M,38.0,284561.0,13.4
,1999.0,1999.0,Connecticut,9.0,45-54 years,45-54,Female,F,12.0,240846.0,
,1999.0,1999.0,Connecticut,9.0,45-54 years,45-54,Male,M,43.0,228474.0,18.8
,1999.0,1999.0,Connecticut,9.0,55-64 years,55-64,Male,M,34.0,145109.0,23.4
,1999.0,1999.0,Connecticut,9.0,65-74 years,65-74,Male,M,20.0,104282.0,19.2
,1999.0,1999.0,Connecticut,9.0,75-84 years,75-84,Male,M,18.0,67390.0,
,1999.0,1999.0,Delaware,10.0,25-34 years,25-34,Male,M,14.0,54940.0,
,1999.0,1999.0,Delaware,10.0,35-44 years,35-44,Male,M,23.0,62330.0,36.9
,1999.0,1999.0,Delaware,10.0,45-54 years,45-54,Male,M,13.0,48750.0,
,1999.0,1999.0,District of Columbia,11.0,35-44 years,35-44,Male,M,11.0,44096.0,
,1999.0,1999.0,Florida,12.0,15-24 years,15-24,Female,F,24.0,924921.0,2.6
,1999.0,1999.0,Florida,12.0,15-24 years,15-24,Male,M,140.0,974807.0,14.4
,1999.0,1999.0,Florida,12.0,25-34 years,25-34,Female,F,59.0,1036079.0,5.7
,1999.0,1999.0,Florida,12.0,25-34 years,25-34,Male,M,232.0,1056626.0,22.0
,1999.0,1999.0,Florida,12.0,35-44 years,35-44,Female,F,114.0,1233241.0,9.2
,1999.0,1999.0,Florida,12.0,35-44 years,35-44,Male,M,334.0,1223234.0,27.3
,1999.0,1999.0,Florida,12.0,45-54 years,45-54,Female,F,86.0,1025162.0,8.4
,1999.0,1999.0,Florida,12.0,45-54 years,45-54,Male,M,287.0,966780.0,29.7
,1999.0,1999.0,Florida,12.0,55-64 years,55-64,Female,F,59.0,800611.0,7.4
,1999.0,1999.0,Florida,12.0,55-64 years,55-64,Male,M,140.0,708839.0,19.8
,1999.0,1999.0,Florida,12.0,65-74 years,65-74,Female,F,55.0,790418.0,7.0
,1999.0,1999.0,Florida,12.0,65-74 years,65-74,Male,M,188.0,672447.0,28.0
,1999.0,1999.0,Florida,12.0,75-84 years,75-84,Female,F,36.0,581362.0,6.2
,1999.0,1999.0,Florida,12.0,75-84 years,75-84,Male,M,179.0,430968.0,41.5
,1999.0,1999.0,Florida,12.0,85+ years,85+,Female,F,15.0,214270.0,
,1999.0,1999.0,Florida,12.0,85+ years,85+,Male,M,71.0,108641.0,65.4
,1999.0,1999.0,Georgia,13.0,15-24 years,15-24,Female,F,21.0,562460.0,3.7
,1999.0,1999.0,Georgia,13.0,15-24 years,15-24,Male,M,99.0,601682.0,16.5
,1999.0,1999.0,Georgia,13.0,25-34 years,25-34,Female,F,30.0,642732.0,4.7
,1999.0,1999.0,Georgia,13.0,25-34 years,25-34,Male,M,157.0,651618.0,24.1
,1999.0,1999.0,Georgia,13.0,35-44 years,35-44,Female,F,42.0,675072.0,6.2
,1999.0,1999.0,Georgia,13.0,35-44 years,35-44,Male,M,132.0,660376.0,20.0
,1999.0,1999.0,Georgia,13.0,45-54 years,45-54,Female,F,32.0,537890.0,5.9
,1999.0,1999.0,Georgia,13.0,45-54 years,45-54,Male,M,104.0,508674.0,20.4
,1999.0,1999.0,Georgia,13.0,55-64 years,55-64,Female,F,15.0,334480.0,
,1999.0,1999.0,Georgia,13.0,55-64 years,55-64,Male,M,72.0,308354.0,23.3
,1999.0,1999.0,Georgia,13.0,65-74 years,65-74,Female,F,14.0,241213.0,
,1999.0,1999.0,Georgia,13.0,65-74 years,65-74,Male,M,66.0,190063.0,34.7
,1999.0,1999.0,Georgia,13.0,75-84 years,75-84,Female,F,14.0,165821.0,
,1999.0,1999.0,Georgia,13.0,75-84 years,75-84,Male,M,56.0,95324.0,58.7
,1999.0,1999.0,Hawaii,15.0,15-24 years,15-24,Male,M,12.0,87734.0,
,1999.0,1999.0,Hawaii,15.0,25-34 years,25-34,Male,M,29.0,90014.0,32.2
,1999.0,1999.0,Hawaii,15.0,35-44 years,35-44,Male,M,30.0,97666.0,30.7
,1999.0,1999.0,Hawaii,15.0,45-54 years,45-54,Male,M,16.0,83710.0,
,1999.0,1999.0,Idaho,16.0,15-24 years,15-24,Male,M,24.0,104568.0,23.0
,1999.0,1999.0,Idaho,16.0,25-34 years,25-34,Male,M,22.0,84607.0,26.0
,1999.0,1999.0,Idaho,16.0,35-44 years,35-44,Female,F,12.0,96110.0,
,1999.0,1999.0,Idaho,16.0,35-44 years,35-44,Male,M,31.0,97386.0,31.8
,1999.0,1999.0,Idaho,16.0,45-54 years,45-54,Male,M,17.0,82912.0,
,1999.0,1999.0,Idaho,16.0,55-64 years,55-64,Male,M,11.0,52239.0,
,1999.0,1999.0,Idaho,16.0,65-74 years,65-74,Male,M,12.0,35800.0,
,1999.0,1999.0,Idaho,16.0,75-84 years,75-84,Male,M,19.0,21536.0,
,1999.0,1999.0,Illinois,17.0,15-24 years,15-24,Female,F,22.0,839351.0,2.6
,1999.0,1999.0,Illinois,17.0,15-24 years,15-24,Male,M,119.0,888143.0,13.4
,1999.0,1999.0,Illinois,17.0,25-34 years,25-34,Female,F,27.0,906416.0,3.0
,1999.0,1999.0,Illinois,17.0,25-34 years,25-34,Male,M,159.0,919295.0,17.3
,1999.0,1999.0,Illinois,17.0,35-44 years,35-44,Female,F,54.0,1001148.0,5.4
,1999.0,1999.0,Illinois,17.0,35-44 years,35-44,Male,M,184.0,986053.0,18.7
,1999.0,1999.0,Illinois,17.0,45-54 years,45-54,Female,F,42.0,808142.0,5.2
,1999.0,1999.0,Illinois,17.0,45-54 years,45-54,Male,M,131.0,775959.0,16.9
,1999.0,1999.0,Illinois,17.0,55-64 years,55-64,Female,F,22.0,537661.0,4.1
,1999.0,1999.0,Illinois,17.0,55-64 years,55-64,Male,M,80.0,491627.0,16.3
,1999.0,1999.0,Illinois,17.0,65-74 years,65-74,Female,F,10.0,432841.0,
,1999.0,1999.0,Illinois,17.0,65-74 years,65-74,Male,M,58.0,345235.0,16.8
,1999.0,1999.0,Illinois,17.0,75-84 years,75-84,Female,F,12.0,329633.0,
,1999.0,1999.0,Illinois,17.0,75-84 years,75-84,Male,M,63.0,203735.0,30.9
