Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,1999,1999,Delaware,10,45-54 years,45-54,Male,M,13,48750,Unreliable
,1999,1999,District of Columbia,11,35-44 years,35-44,Male,M,11,44096,Unreliable
,1999,1999,Florida,12,15-24 years,15-24,Female,F,24,924921,2.6
,1999,1999,Florida,12,15-24 years,15-24,Male,M,140,974807,14.4
,1999,1999,Florida,12,25-34 years,25-34,Female,F,59,1036079,5.7
,1999,1999,Florida,12,25-34 years,25-34,Male,M,232,1056626,22
,1999,1999,Florida,12,35-44 years,35-44,Female,F,114,1233241,9.2
,1999,1999,Florida,12,35-44 years,35-44,Male,M,334,1223234,27.3
,1999,1999,Florida,12,45-54 years,45-54,Female,F,86,1025162,8.4
,1999,1999,Florida,12,45-54 years,45-54,Male,M,287,966780,29.7
,1999,1999,Florida,12,55-64 years,55-64,Female,F,59,800611,7.4
,1999,1999,Florida,12,55-64 years,55-64,Male,M,140,708839,19.8
,1999,1999,Florida,12,65-74 years,65-74,Female,F,55,790418,7
,1999,1999,Florida,12,65-74 years,65-74,Male,M,188,672447,28
,1999,1999,Florida,12,75-84 years,75-84,Female,F,36,581362,6.2
,1999,1999,Florida,12,75-84 years,75-84,Male,M,179,430968,41.5
,1999,1999,Florida,12,85+ years,85+,Female,F,15,214270,Unreliable
,1999,1999,Florida,12,85+ years,85+,Male,M,71,108641,65.4
,1999,1999,Georgia,13,15-24 years,15-24,Female,F,21,562460,3.7
,1999,1999,Georgia,13,15-24 years,15-24,Male,M,99,601682,16.5
,1999,1999,Georgia,13,25-34 years,25-34,Female,F,30,642732,4.7
,1999,1999,Georgia,13,25-34 years,25-34,Male,M,157,651618,24.1
,1999,1999,Georgia,13,35-44 years,35-44,Female,F,42,675072,6.2
,1999,1999,Georgia,13,35-44 years,35-44,Male,M,132,660376,20
,1999,1999,Georgia,13,45-54 years,45-54,Female,F,32,537890,5.9
,1999,1999,Georgia,13,45-54 years,45-54,Male,M,104,508674,20.4
,1999,1999,Georgia,13,55-64 years,55-64,Female,F,15,334480,Unreliable
,1999,1999,Georgia,13,55-64 years,55-64,Male,M,72,308354,23.3
,1999,1999,Georgia,13,65-74 years,65-74,Female,F,14,241213,Unreliable
,1999,1999,Georgia,13,65-74 years,65-74,Male,M,66,190063,34.7
,1999,1999,Georgia,13,75-84 years,75-84,Female,F,14,165821,Unreliable
,1999,1999,Georgia,13,75-84 years,75-84,Male,M,56,95324,58.7
,1999,1999,Hawaii,15,15-24 years,15-24,Male,M,12,87734,Unreliable
,1999,1999,Hawaii,15,25-34 years,25-34,Male,M,29,90014,32.2
,1999,1999,Hawaii,15,35-44 years,35-44,Male,M,30,97666,30.7
,1999,1999,Hawaii,15,45-54 years,45-54,Male,M,16,83710,Unreliable
,1999,1999,Idaho,16,15-24 years,15-24,Male,M,24,104568,23
,1999,1999,Idaho,16,25-34 years,25-34,Male,M,22,84607,26
,1999,1999,Idaho,16,35-44 years,35-44,Female,F,12,96110,Unreliable
,1999,1999,Idaho,16,35-44 years,35-44,Male,M,31,97386,31.8
,1999,1999,Idaho,16,45-54 years,45-54,Male,M,17,82912,Unreliable
,1999,1999,Idaho,16,55-64 years,55-64,Male,M,11,52239,Unreliable
,1999,1999,Idaho,16,65-74 years,65-74,Male,M,12,35800,Unreliable
,1999,1999,Idaho,16,75-84 years,75-84,Male,M,19,21536,Unreliable
,1999,1999,Illinois,17,15-24 years,15-24,Female,F,22,839351,2.6
,1999,1999,Illinois,17,15-24 years,15-24,Male,M,119,888143,13.4
,1999,1999,Illinois,17,25-34 years,25-34,Female,F,27,906416,3
,1999,1999,Illinois,17,25-34 years,25-34,Male,M,159,919295,17.3
,1999,1999,Illinois,17,35-44 years,35-44,Female,F,54,1001148,5.4
,1999,1999,Illinois,17,35-44 years,35-44,Male,M,184,986053,18.7
,1999,1999,Illinois,17,45-54 years,45-54,Female,F,42,808142,5.2
,1999,1999,Illinois,17,45-54 years,45-54,Male,M,131,775959,16.9
,1999,1999,Illinois,17,55-64 years,55-64,Female,F,22,537661,4.1
,1999,1999,Illinois,17,55-64 years,55-64,Male,M,80,491627,16.3
,1999,1999,Illinois,17,65-74 years,65-74,Female,F,10,432841,Unreliable
,1999,1999,Illinois,17,65-74 years,65-74,Male,M,58,345235,16.8
,1999,1999,Illinois,17,75-84 years,75-84,Female,F,12,329633,Unreliable
,1999,1999,Illinois,17,75-84 years,75-84,Male,M,63,203735,30.9
,1999,1999,Illinois,17,85+ years,85+,Male,M,25,51612,48.4
,1999,1999,Indiana,18,15-24 years,15-24,Female,F,13,428517,Unreliable
,1999,1999,Indiana,18,15-24 years,15-24,Male,M,80,447229,17.9
,1999,1999,Indiana,18,25-34 years,25-34,Female,F,13,415602,Unreliable
,1999,1999,Indiana,18,25-34 years,25-34,Male,M,108,421341,25.6
,1999,1999,Indiana,18,35-44 years,35-44,Female,F,29,483409,6
,1999,1999,Indiana,18,35-44 years,35-44,Male,M,118,478858,24.6
,1999,1999,Indiana,18,45-54 years,45-54,Female,F,24,402438,6
,1999,1999,Indiana,18,45-54 years,45-54,Male,M,81,393302,20.6
,1999,1999,Indiana,18,55-64 years,55-64,Male,M,29,252551,11.5
,1999,1999,Indiana,18,65-74 years,65-74,Male,M,37,176842,20.9
,1999,1999,Indiana,18,75-84 years,75-84,Male,M,43,100207,42.9
,1999,1999,Indiana,18,85+ years,85+,Male,M,17,24687,Unreliable
,1999,1999,Iowa,19,15-24 years,15-24,Male,M,48,218633,22
,1999,1999,Iowa,19,25-34 years,25-34,Male,M,41,185897,22.1
,1999,1999,Iowa,19,35-44 years,35-44,Female,F,11,224126,Unreliable
,1999,1999,Iowa,19,35-44 years,35-44,Male,M,49,224360,21.8
,1999,1999,Iowa,19,45-54 years,45-54,Female,F,10,190483,Unreliable
,1999,1999,Iowa,19,45-54 years,45-54,Male,M,35,192057,18.2
,1999,1999,Iowa,19,55-64 years,55-64,Male,M,29,124230,23.3
,1999,1999,Iowa,19,65-74 years,65-74,Male,M,22,96751,22.7
,1999,1999,Iowa,19,75-84 years,75-84,Male,M,19,62126,Unreliable
,1999,1999,Iowa,19,85+ years,85+,Male,M,10,17776,Unreliable
,1999,1999,Kansas,20,15-24 years,15-24,Male,M,49,204698,23.9
,1999,1999,Kansas,20,25-34 years,25-34,Male,M,47,179830,26.1
,1999,1999,Kansas,20,35-44 years,35-44,Female,F,14,211678,Unreliable
,1999,1999,Kansas,20,35-44 years,35-44,Male,M,47,212272,22.1
,1999,1999,Kansas,20,45-54 years,45-54,Female,F,15,171823,Unreliable
,1999,1999,Kansas,20,45-54 years,45-54,Male,M,38,172334,22.1
,1999,1999,Kansas,20,55-64 years,55-64,Male,M,24,105733,22.7
,1999,1999,Kansas,20,65-74 years,65-74,Male,M,18,80409,Unreliable
,1999,1999,Kansas,20,75-84 years,75-84,Male,M,18,50391,Unreliable
,1999,1999,Kentucky,21,15-24 years,15-24,Male,M,47,292201,16.1
,1999,1999,Kentucky,21,25-34 years,25-34,Female,F,12,284672,Unreliable
,1999,1999,Kentucky,21,25-34 years,25-34,Male,M,75,285353,26.3
,1999,1999,Kentucky,21,35-44 years,35-44,Female,F,20,324696,6.2
,1999,1999,Kentucky,21,35-44 years,35-44,Male,M,97,316592,30.6
,1999,1999,Kentucky,21,45-54 years,45-54,Female,F,29,275483,10.5
,1999,1999,Kentucky,21,45-54 years,45-54,Male,M,53,265956,19.9
,1999,1999,Kentucky,21,55-64 years,55-64,Male,M,33,175819,18.8
,1999,1999,Kentucky,21,65-74 years,65-74,Male,M,34,122420,27.8
,1999,1999,Kentucky,21,75-84 years,75-84,Male,M,31,64509,48.1
,1999,1999,Kentucky,21,85+ years,85+,Male,M,15,15593,Unreliable
,1999,1999,Louisiana,22,15-24 years,15-24,Male,M,76,345450,22
,1999,1999,Louisiana,22,25-34 years,25-34,Female,F,18,310491,Unreliable
,1999,1999,Louisiana,22,25-34 years,25-34,Male,M,83,298091,27.8
,1999,1999,Louisiana,22,35-44 years,35-44,Female,F,26,356925,7.3
,1999,1999,Louisiana,22,35-44 years,35-44,Male,M,72,339382,21.2
,1999,1999,Louisiana,22,45-54 years,45-54,Female,F,23,293386,7.8
,1999,1999,Louisiana,22,45-54 years,45-54,Male,M,67,277057,24.2
,1999,1999,Louisiana,22,55-64 years,55-64,Female,F,12,196784,Unreliable
,1999,1999,Louisiana,22,55-64 years,55-64,Male,M,39,176452,22.1
,1999,1999,Louisiana,22,65-74 years,65-74,Male,M,32,124854,25.6
,1999,1999,Louisiana,22,75-84 years,75-84,Male,M,30,66127,45.4
,1999,1999,Louisiana,22,85+ years,85+,Male,M,13,15996,Unreliable
,1999,1999,Maine,23,15-24 years,15-24,Male,M,13,80597,Unreliable
,1999,1999,Maine,23,25-34 years,25-34,Male,M,25,78153,32
,1999,1999,Maine,23,35-44 years,35-44,Female,F,10,109011,Unreliable
,1999,1999,Maine,23,35-44 years,35-44,Male,M,33,104519,31.6
,1999,1999,Maine,23,45-54 years,45-54,Male,M,24,92618,25.9
,1999,1999,Maine,23,55-64 years,55-64,Male,M,12,58545,Unreliable
,1999,1999,Maine,23,65-74 years,65-74,Male,M,14,43798,Unreliable
,1999,1999,Maryland,24,15-24 years,15-24,Female,F,12,325943,Unreliable
,1999,1999,Maryland,24,15-24 years,15-24,Male,M,52,332432,15.6
,1999,1999,Maryland,24,25-34 years,25-34,Female,F,14,393451,Unreliable
